unidade;setor_saida;ano;mes;paciente_dia;saidas;mp_por_setor_de_saida
CHPB;3º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;12;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;1;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;2;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;3;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;4;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;5;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;6;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;7;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;8;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;9;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;10;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;11;0;0;
CHPB;4º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;12;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;1;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;2;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;3;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;4;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;5;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;6;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;7;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;8;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;9;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;10;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;11;0;0;
CHPB;4º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;12;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;1;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;2;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;3;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;4;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;5;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;6;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;7;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;8;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;9;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;10;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;11;0;0;
CHPB;5º ANDAR - INTERNAÇÃO ADULTO;2019;12;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;1;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;2;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;3;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;4;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;5;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;6;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;7;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;8;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;9;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;10;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;11;0;0;
CHPB;6º ANDAR - INTERNAÇÃO ADULTO;2019;12;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;1;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;2;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;3;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;4;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;5;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;6;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;7;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;8;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;9;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;10;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;11;0;0;
CHPB;7º ANDAR - INTERNAÇÃO CIRÚRGICA;2019;12;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;1;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;2;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;3;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;4;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;5;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;6;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;7;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;8;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;9;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;10;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;11;0;0;
CHPB;8º ANDAR - INTERNAÇÃO QUEIMADOS;2019;12;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;1;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;2;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;3;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;4;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;5;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;6;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;7;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;8;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;9;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;10;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;11;0;0;
CHPB;9º ANDAR - BC QUEIMADOS;2019;12;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;1;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;2;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;3;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;4;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;5;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;6;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;7;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;8;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;9;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;10;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;11;0;0;
CHPB;9º ANDAR - UTI QUEIMADOS;2019;12;0;0;
CHPB;ACOES EDUCACIONAIS;2019;1;0;0;
CHPB;ACOES EDUCACIONAIS;2019;2;0;0;
CHPB;ACOES EDUCACIONAIS;2019;3;0;0;
CHPB;ACOES EDUCACIONAIS;2019;4;0;0;
CHPB;ACOES EDUCACIONAIS;2019;5;0;0;
CHPB;ACOES EDUCACIONAIS;2019;6;0;0;
CHPB;ACOES EDUCACIONAIS;2019;7;0;0;
CHPB;ACOES EDUCACIONAIS;2019;8;0;0;
CHPB;ACOES EDUCACIONAIS;2019;9;0;0;
CHPB;ACOES EDUCACIONAIS;2019;10;0;0;
CHPB;ACOES EDUCACIONAIS;2019;11;0;0;
CHPB;ACOES EDUCACIONAIS;2019;12;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;1;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;2;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;3;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;4;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;5;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;6;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;7;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;8;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;9;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;10;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;11;0;0;
CHPB;ACOLHIMENTO COM CLASSIFICACAO DE RISCO;2019;12;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;1;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;2;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;3;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;4;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;5;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;6;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;7;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;8;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;9;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;10;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;11;0;0;
CHPB;ACOMPANHAMENTO FUNCIONAL E MULTIDISCIPLINAR;2019;12;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;1;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;2;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;3;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;4;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;5;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;6;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;7;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;8;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;9;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;10;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;11;0;0;
CHPB;ACOMPANHAMENTO TRANSEXUALIDADE;2019;12;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;1;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;2;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;3;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;4;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;5;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;6;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;7;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;8;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;9;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;10;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;11;0;0;
CHPB;AGÊNCIA TRANFUSIONAL;2019;12;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;1;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;2;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;3;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;4;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;5;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;6;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;7;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;8;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;9;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;10;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;11;0;0;
CHPB;AGENCIA TRANSFUSIONAL;2019;12;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;1;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;2;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;3;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;4;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;5;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;6;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;7;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;8;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;9;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;10;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;11;0;0;
CHPB;AGÊNCIA TRANSFUSIONAL;2019;12;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;1;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;2;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;3;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;4;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;5;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;6;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;7;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;8;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;9;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;10;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;11;0;0;
CHPB;AGÊNCIA TRÂNSFUSIONAL;2019;12;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;1;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;2;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;3;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;4;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;5;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;6;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;7;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;8;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;9;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;10;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;11;0;0;
CHPB;AGENCIA TRANSFUSIONAL/HRB/CHB;2019;12;0;0;
CHPB;ALA A;2019;1;0;0;
CHPB;ALA A;2019;2;0;0;
CHPB;ALA A;2019;3;0;0;
CHPB;ALA A;2019;4;0;0;
CHPB;ALA A;2019;5;0;0;
CHPB;ALA A;2019;6;0;0;
CHPB;ALA A;2019;7;0;0;
CHPB;ALA A;2019;8;0;0;
CHPB;ALA A;2019;9;0;0;
CHPB;ALA A;2019;10;0;0;
CHPB;ALA A;2019;11;0;0;
CHPB;ALA A;2019;12;0;0;
CHPB;ALA B;2019;1;0;0;
CHPB;ALA B;2019;2;0;0;
CHPB;ALA B;2019;3;0;0;
CHPB;ALA B;2019;4;0;0;
CHPB;ALA B;2019;5;0;0;
CHPB;ALA B;2019;6;0;0;
CHPB;ALA B;2019;7;0;0;
CHPB;ALA B;2019;8;0;0;
CHPB;ALA B;2019;9;0;0;
CHPB;ALA B;2019;10;0;0;
CHPB;ALA B;2019;11;0;0;
CHPB;ALA B;2019;12;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;1;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;2;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;3;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;4;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;5;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;6;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;7;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;8;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;9;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;10;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;11;0;0;
CHPB;ALA B-SEMI INTENSIVO;2019;12;0;0;
CHPB;ALA C;2019;1;0;0;
CHPB;ALA C;2019;2;0;0;
CHPB;ALA C;2019;3;0;0;
CHPB;ALA C;2019;4;0;0;
CHPB;ALA C;2019;5;0;0;
CHPB;ALA C;2019;6;0;0;
CHPB;ALA C;2019;7;0;0;
CHPB;ALA C;2019;8;0;0;
CHPB;ALA C;2019;9;0;0;
CHPB;ALA C;2019;10;0;0;
CHPB;ALA C;2019;11;0;0;
CHPB;ALA C;2019;12;0;0;
CHPB;ALA D;2019;1;0;0;
CHPB;ALA D;2019;2;0;0;
CHPB;ALA D;2019;3;0;0;
CHPB;ALA D;2019;4;0;0;
CHPB;ALA D;2019;5;0;0;
CHPB;ALA D;2019;6;0;0;
CHPB;ALA D;2019;7;0;0;
CHPB;ALA D;2019;8;0;0;
CHPB;ALA D;2019;9;0;0;
CHPB;ALA D;2019;10;0;0;
CHPB;ALA D;2019;11;0;0;
CHPB;ALA D;2019;12;0;0;
CHPB;ALA E;2019;1;0;0;
CHPB;ALA E;2019;2;0;0;
CHPB;ALA E;2019;3;0;0;
CHPB;ALA E;2019;4;0;0;
CHPB;ALA E;2019;5;0;0;
CHPB;ALA E;2019;6;0;0;
CHPB;ALA E;2019;7;0;0;
CHPB;ALA E;2019;8;0;0;
CHPB;ALA E;2019;9;0;0;
CHPB;ALA E;2019;10;0;0;
CHPB;ALA E;2019;11;0;0;
CHPB;ALA E;2019;12;0;0;
CHPB;ALA F;2019;1;0;0;
CHPB;ALA F;2019;2;0;0;
CHPB;ALA F;2019;3;0;0;
CHPB;ALA F;2019;4;0;0;
CHPB;ALA F;2019;5;0;0;
CHPB;ALA F;2019;6;0;0;
CHPB;ALA F;2019;7;0;0;
CHPB;ALA F;2019;8;0;0;
CHPB;ALA F;2019;9;0;0;
CHPB;ALA F;2019;10;0;0;
CHPB;ALA F;2019;11;0;0;
